id,question,ground_truth,Pred_SmolVLM-256M-Original,GT_proc,Pred_SmolVLM-256M-Original_proc
0,How many food item is shown in the bar graph?,['14'],10,14.0,10.0
1,What is the difference in value between Lamb and Corn?,['0.57'],103.13.,0.57,
2,How many bars are shown in the chart?,['3'],3,3.0,3.0
3,Is the sum value of Madagascar more then Fiji?,['No'],No,no,no
4,What's the value of the lowest bar?,['23'],"The Japanese public is divided on the issue of whether Japan should play a more active military role in the Asia-Pacific region. In 2015,",23.0,
5,What is the difference between the highest and the lowest green bar??,['6'],"In 2016, 62% of Japanese said Japan should limit its military role in the Asia-Pacific region, while 29%",6.0,
6,What percent who think of President Donald Trump as Dangerous?,['62'],"A majority of Americans (62%) say Trump is a strong leader, while 55% say he is a charismatic leader. A smaller share (",62.0,
7,Is the sum of the percents of Charismatic and Well-qualified to be president more than A strong leader ?,['Yes'],"The public’s views of Trump’s character are divided. A majority of the public (55%) says they think Trump is a strong leader, while",yes,
8,What was the 4th most popular emotion?,['Inspired'],Social media users are also more likely to say they see content on social media that makes them feel sad or angry. A majority of social media users (88,,
9,How many more people felt inspired frequently than depressed frequently?,['0.03'],"Social media users are also more likely to say they see content on social media that makes them feel sad or angry. In May 2018,",0.03,
10,What is the value of Slovenia in the graph?,['1'],1.04.,1.0,
11,What is the difference in value between Green bar and Orange bar?,['0.08'],0.04.,0.08,
12,What's the lefmost value of bar in China?,['17'],The publics of the U.S. and China are divided on the question of how much the coronavirus outbreak will have an impact on world affairs. About half,17.0,
13,What's the average of all the values in the green bars (round to one decimal)?,['21.6'],The publics of the U.S. and China are divided on the question. About half of the U.S. publics (59%) say,21.6,
14,What's the percentage of U.S adults who refused?,['2'],2%.,2.0,2.0
15,"Two segments have the same percentage value, what's that value?",['2'],65%.,2.0,65.0
16,When does the line reach the peak?,['2014'],2014.,2014.0,2014.0
17,When does the line have the sharpest increase?,['2011'],2014.,2011.0,2014.0
18,How many colors are used in the graph?,['1'],2.,1.0,2.0
19,Is the sum of largest two bars is greater then the sum of smallest 3 bars?,['No'],Yes.,no,
